                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.261,                 3.8059,                 1.8823,                 0.0126,                0.48786,                0.05428,                0.02599,                 1.7934,                  3.739,                  1.621,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.8992,                 3.6395,                 1.6261,                0.04547,                 0.7461,                0.16692,                0.09666,                 1.7705,                 3.5372,                 1.4435,             0.00014953,             0.00014953,             0.00014953
                      3,                 1.8321,                 3.1073,                  1.494,                0.04756,                0.79314,                0.21044,                0.11829,                 1.7757,                 3.3249,                 1.4514,             0.00023184,             0.00023184,             0.00023184
                      4,                 1.8874,                 2.3999,                 1.4877,                0.04895,                0.80298,                0.41442,                0.19874,                 1.8315,                 3.1409,                  1.526,             0.00031359,             0.00031359,             0.00031359
                      5,                  1.753,                 2.0633,                 1.3962,                 0.7891,                0.33724,                0.48173,                0.23414,                  1.911,                 2.8541,                 1.5229,              0.0003948,              0.0003948,              0.0003948
                      6,                 1.8002,                 1.6919,                 1.4191,                0.92903,                0.14006,                0.48704,                0.24114,                 1.8843,                 2.7921,                 1.5021,             0.00047545,             0.00047545,             0.00047545
                      7,                 1.8596,                 1.5958,                 1.4164,                 0.6999,                0.41377,                0.46382,                0.20357,                 2.0681,                 2.4811,                 1.5959,             0.00055556,             0.00055556,             0.00055556
                      8,                 1.8114,                 1.5328,                 1.3913,                0.60414,                0.46219,                0.50432,                0.23508,                 2.0042,                 2.2128,                 1.5286,             0.00063511,             0.00063511,             0.00063511
                      9,                 1.8382,                 1.4987,                 1.4181,                 0.6608,                0.51075,                0.54061,                0.25707,                 1.9404,                 1.9864,                 1.5067,             0.00071412,             0.00071412,             0.00071412
                     10,                 1.7761,                  1.381,                 1.3485,                0.60599,                0.53725,                0.55014,                0.27257,                 1.9713,                 1.6177,                 1.5692,             0.00079257,             0.00079257,             0.00079257
                     11,                 1.6994,                  1.333,                 1.3503,                0.65955,                0.53375,                0.59242,                0.27574,                 1.9251,                 1.4709,                 1.5642,             0.00087047,             0.00087047,             0.00087047
                     12,                 1.8744,                   1.47,                 1.4245,                0.54976,                0.53863,                0.52398,                0.22972,                 1.9074,                 1.4237,                 1.5688,             0.00094783,             0.00094783,             0.00094783
                     13,                 1.7653,                 1.3194,                 1.3595,                0.55603,                0.56201,                0.53519,                0.25222,                 1.9422,                 1.4265,                 1.5968,              0.0010246,              0.0010246,              0.0010246
                     14,                 1.7694,                 1.3724,                 1.3968,                0.51511,                0.65512,                 0.5494,                 0.2532,                 1.9541,                 1.4001,                 1.6403,              0.0011009,              0.0011009,              0.0011009
                     15,                 1.6936,                 1.2872,                 1.3116,                0.55983,                0.54216,                0.55677,                0.26861,                 1.8544,                 1.4079,                 1.5819,              0.0011766,              0.0011766,              0.0011766
                     16,                 1.6861,                 1.2046,                 1.3169,                 0.5525,                0.52236,                0.58472,                0.27603,                 1.8887,                  1.379,                 1.6102,              0.0012517,              0.0012517,              0.0012517
                     17,                  1.776,                 1.2574,                 1.3526,                0.45449,                0.68004,                 0.5226,                0.25998,                 1.9018,                 1.7116,                 1.5713,              0.0013263,              0.0013263,              0.0013263
                     18,                  1.694,                 1.2297,                 1.3551,                0.46154,                0.70358,                0.56552,                0.27337,                 1.9432,                 1.8763,                 1.6082,              0.0014004,              0.0014004,              0.0014004
                     19,                 1.6704,                 1.1866,                 1.3151,                0.41557,                0.70128,                0.51714,                0.25045,                 1.9111,                 2.1101,                 1.5736,              0.0014739,              0.0014739,              0.0014739
                     20,                 1.6034,                 1.2231,                 1.3287,                 0.4826,                0.62482,                0.46662,                0.21638,                 1.9087,                 1.9631,                 1.5578,              0.0015469,              0.0015469,              0.0015469
                     21,                 1.6932,                 1.2651,                 1.3833,                0.44156,                0.59077,                0.46036,                0.21877,                 1.9705,                 1.7672,                 1.5977,               0.001557,               0.001557,               0.001557
                     22,                 1.6773,                 1.2201,                 1.3413,                0.48186,                 0.5327,                0.44643,                0.20708,                  1.993,                 1.6687,                 1.5828,               0.001557,               0.001557,               0.001557
                     23,                 1.6011,                 1.1975,                 1.2873,                0.45404,                0.50466,                  0.422,                0.19483,                 1.9584,                 1.6481,                 1.5375,              0.0015515,              0.0015515,              0.0015515
                     24,                 1.6819,                 1.2475,                 1.3009,                0.40325,                  0.604,                0.44383,                0.21229,                 1.9152,                 1.6931,                 1.5282,               0.001546,               0.001546,               0.001546
                     25,                 1.6891,                 1.2765,                  1.352,                0.41332,                0.60595,                 0.4497,                0.22768,                 1.8334,                 1.8276,                 1.4952,              0.0015405,              0.0015405,              0.0015405
                     26,                 1.7254,                 1.2657,                 1.3859,                0.44636,                0.61261,                0.49485,                0.24303,                 1.8282,                 1.8968,                 1.5002,               0.001535,               0.001535,               0.001535
                     27,                 1.6629,                 1.2086,                  1.325,                0.44501,                0.62852,                0.51195,                0.23221,                 1.9005,                 1.9809,                 1.5321,              0.0015295,              0.0015295,              0.0015295
                     28,                 1.6481,                 1.3198,                   1.33,                0.41737,                0.69073,                0.48975,                0.22873,                   1.87,                 2.1978,                 1.5022,               0.001524,               0.001524,               0.001524
                     29,                  1.628,                 1.2205,                 1.3196,                0.42812,                0.61656,                0.46877,                0.22004,                 1.9009,                   1.94,                 1.5589,              0.0015185,              0.0015185,              0.0015185
                     30,                 1.5773,                 1.2277,                 1.3278,                0.37294,                0.55998,                0.38592,                0.18918,                 1.9261,                 2.0122,                  1.616,               0.001513,               0.001513,               0.001513
                     31,                 1.5724,                 1.2421,                 1.3373,                0.36748,                0.58828,                0.40427,                0.19899,                 1.8762,                 1.9753,                 1.6032,              0.0015075,              0.0015075,              0.0015075
                     32,                   1.66,                 1.2132,                 1.3521,                0.42006,                0.56334,                 0.5028,                0.26434,                 1.8631,                 1.7833,                 1.5645,               0.001502,               0.001502,               0.001502
                     33,                 1.5743,                 1.2001,                 1.3163,                0.44867,                0.67257,                0.55693,                0.29536,                 1.8111,                 1.4651,                 1.5154,              0.0014965,              0.0014965,              0.0014965
                     34,                  1.597,                  1.258,                 1.3453,                0.53341,                0.66911,                0.58942,                 0.3207,                 1.7454,                 1.3163,                 1.4692,               0.001491,               0.001491,               0.001491
                     35,                 1.5984,                 1.1359,                 1.3099,                0.59028,                0.64302,                0.59557,                0.31766,                  1.767,                 1.2817,                 1.4754,              0.0014855,              0.0014855,              0.0014855
                     36,                 1.6886,                 1.2003,                 1.3509,                0.57285,                0.55132,                0.53956,                0.26019,                 1.9088,                 1.4271,                 1.5337,                0.00148,                0.00148,                0.00148
                     37,                 1.5947,                 1.1404,                  1.299,                0.53539,                0.57606,                0.51975,                 0.2643,                 1.8239,                 1.4276,                 1.4582,              0.0014745,              0.0014745,              0.0014745
                     38,                 1.6422,                 1.2354,                 1.3332,                0.54374,                0.61899,                0.53293,                0.26769,                 1.8313,                 1.4355,                 1.4443,               0.001469,               0.001469,               0.001469
                     39,                 1.6122,                 1.1196,                 1.3088,                0.54278,                0.67261,                0.56915,                0.28799,                 1.8469,                 1.3777,                 1.4475,              0.0014635,              0.0014635,              0.0014635
