                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6608,                 2.4823,                 1.3304,                0.52341,                0.28701,                0.26351,                0.14888,                 1.4239,                 1.7638,                 1.2033,             0.00041291,             0.00041291,             0.00041291
                      2,                  1.496,                 1.5735,                  1.221,                0.29444,                0.39893,                 0.2963,                0.17692,                  1.377,                 1.6732,                 1.1702,             0.00082684,             0.00082684,             0.00082684
                      3,                 1.4628,                 1.4759,                 1.2123,                0.34388,                0.44035,                0.33501,                0.19517,                 1.3164,                 1.3888,                 1.1623,               0.001238,               0.001238,               0.001238
                      4,                 1.4455,                 1.3763,                 1.1985,                0.32189,                0.45991,                 0.3266,                0.19664,                 1.3362,                 1.5987,                 1.1677,              0.0012376,              0.0012376,              0.0012376
                      5,                  1.419,                  1.334,                 1.1935,                0.39694,                0.45093,                0.39942,                 0.2462,                 1.2896,                 1.3059,                 1.1916,              0.0012376,              0.0012376,              0.0012376
                      6,                 1.3864,                 1.3053,                 1.1819,                0.41806,                0.46162,                 0.3947,                0.24471,                 1.2753,                 1.2694,                 1.1861,              0.0012335,              0.0012335,              0.0012335
                      7,                 1.4037,                 1.2873,                 1.1937,                0.40233,                 0.4737,                0.43839,                0.26289,                 1.2966,                 1.3021,                 1.1858,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.3721,                 1.2421,                 1.1791,                0.36108,                0.46474,                 0.3856,                0.24184,                 1.2509,                 1.3111,                 1.1694,              0.0012252,              0.0012252,              0.0012252
                      9,                 1.3698,                  1.218,                 1.1742,                0.44438,                0.49279,                0.45655,                 0.2825,                 1.2579,                 1.2393,                 1.1608,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.3649,                 1.2032,                 1.1729,                0.49223,                0.56222,                0.50576,                0.32025,                 1.2449,                  1.107,                 1.1534,               0.001217,               0.001217,               0.001217
                     11,                 1.3497,                 1.1886,                 1.1684,                0.49058,                0.48745,                0.47253,                0.29721,                 1.2568,                 1.1727,                 1.1574,              0.0012129,              0.0012129,              0.0012129
                     12,                 1.3469,                   1.17,                  1.172,                0.50751,                0.50883,                0.48753,                0.31446,                 1.2304,                 1.1537,                 1.1462,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.3393,                 1.1436,                 1.1621,                0.48716,                0.50857,                0.49024,                0.31675,                 1.2221,                 1.2271,                 1.1456,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.3183,                 1.1375,                 1.1493,                0.45339,                0.57118,                0.46731,                0.29861,                 1.2164,                  1.213,                 1.1383,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.3219,                 1.1085,                 1.1539,                0.54135,                0.51952,                0.54262,                 0.3545,                 1.2011,                 1.0616,                 1.1223,              0.0011964,              0.0011964,              0.0011964
                     16,                 1.3082,                 1.0837,                 1.1446,                0.57129,                 0.5599,                 0.5757,                0.37316,                 1.1916,                 1.0297,                 1.1191,              0.0011922,              0.0011922,              0.0011922
                     17,                 1.3044,                 1.0883,                 1.1416,                0.58686,                0.56307,                0.59461,                0.38858,                 1.2181,                 1.0107,                 1.1339,              0.0011881,              0.0011881,              0.0011881
                     18,                 1.3072,                 1.0642,                 1.1436,                0.55154,                0.58412,                0.57433,                0.37815,                 1.1803,                 1.0876,                  1.122,               0.001184,               0.001184,               0.001184
                     19,                 1.2927,                 1.0542,                 1.1353,                0.60641,                0.49825,                0.52343,                0.35275,                 1.1833,                 1.0958,                 1.1155,              0.0011799,              0.0011799,              0.0011799
                     20,                 1.2743,                 1.0285,                 1.1269,                 0.6112,                0.57769,                0.61477,                0.40506,                 1.1758,                0.99129,                 1.1107,              0.0011757,              0.0011757,              0.0011757
                     21,                 1.2724,                 1.0039,                 1.1262,                0.57248,                0.56423,                0.58036,                0.39011,                 1.1706,                0.98678,                 1.1104,              0.0011716,              0.0011716,              0.0011716
                     22,                 1.2689,                 1.0054,                 1.1216,                0.62946,                0.53004,                0.59272,                0.39212,                 1.1801,                0.99363,                  1.108,              0.0011675,              0.0011675,              0.0011675
                     23,                 1.2624,                0.98469,                 1.1188,                0.57759,                0.59691,                0.61026,                0.40519,                 1.1751,                0.98104,                 1.1223,              0.0011634,              0.0011634,              0.0011634
