                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3423,                 1.2091,                 1.1606,                0.32181,                0.49461,                 0.3511,                0.19735,                 1.3795,                 1.4272,                 1.2715,              0.0011139,              0.0011139,              0.0011139
                     36,                 1.3343,                 1.1747,                 1.1598,                0.32355,                0.45015,                0.35218,                0.20796,                 1.3672,                 1.3799,                  1.225,              0.0011098,              0.0011098,              0.0011098
                     37,                 1.2716,                 1.1587,                 1.1394,                 0.4209,                0.40675,                0.38002,                0.23182,                 1.3527,                 1.3364,                 1.2143,              0.0011056,              0.0011056,              0.0011056
                     38,                 1.3184,                 1.1763,                 1.1658,                0.39608,                0.44333,                0.37886,                0.21912,                 1.3854,                  1.361,                 1.2314,              0.0011015,              0.0011015,              0.0011015
                     39,                 1.3152,                 1.1725,                 1.1538,                0.34205,                0.50598,                0.35984,                0.21119,                 1.3755,                 1.4105,                 1.2208,              0.0010974,              0.0010974,              0.0010974
                     40,                 1.2936,                 1.1564,                 1.1523,                0.33824,                0.45826,                0.34546,                0.19457,                 1.4383,                 1.4679,                 1.2837,              0.0010933,              0.0010933,              0.0010933
                     41,                 1.2712,                 1.1405,                 1.1296,                0.34167,                0.40255,                0.30485,                0.17735,                  1.384,                 1.5326,                 1.2302,              0.0010891,              0.0010891,              0.0010891
                     42,                 1.2986,                 1.1862,                 1.1503,                0.33971,                0.44322,                0.33659,                0.19562,                 1.3661,                 1.3312,                  1.226,               0.001085,               0.001085,               0.001085
                     43,                 1.2778,                 1.1406,                 1.1429,                0.26454,                0.55997,                0.31559,                0.18348,                 1.3743,                 1.6683,                 1.2491,              0.0010809,              0.0010809,              0.0010809
                     44,                 1.2814,                 1.1158,                 1.1376,                0.33523,                0.46174,                0.38809,                0.22678,                 1.3691,                 1.3215,                 1.2427,              0.0010768,              0.0010768,              0.0010768
                     45,                 1.2797,                 1.1413,                 1.1433,                0.42862,                0.39825,                0.37195,                0.22121,                 1.3792,                 1.3368,                  1.225,              0.0010726,              0.0010726,              0.0010726
                     46,                 1.2538,                 1.1221,                 1.1238,                0.36203,                0.42037,                0.34103,                0.19692,                 1.4216,                 1.3896,                 1.2506,              0.0010685,              0.0010685,              0.0010685
                     47,                  1.301,                 1.1247,                 1.1463,                0.46195,                  0.365,                0.34946,                0.19907,                 1.4474,                 1.4402,                 1.2721,              0.0010644,              0.0010644,              0.0010644
                     48,                 1.2882,                  1.097,                 1.1217,                0.36879,                0.47425,                0.36822,                0.20742,                 1.4139,                 1.4111,                 1.2406,              0.0010603,              0.0010603,              0.0010603
                     49,                 1.2871,                 1.1092,                 1.1483,                0.36535,                0.40889,                0.35649,                0.21801,                 1.3451,                 1.3107,                 1.2301,              0.0010561,              0.0010561,              0.0010561
                     50,                 1.2589,                 1.1233,                 1.1335,                0.31251,                0.45522,                0.33165,                0.20392,                 1.3594,                 1.3425,                 1.2231,               0.001052,               0.001052,               0.001052
                     51,                 1.2754,                 1.1127,                  1.134,                0.38785,                 0.3802,                0.35414,                0.21248,                 1.3564,                 1.4221,                 1.2289,              0.0010479,              0.0010479,              0.0010479
                     52,                 1.2594,                 1.0675,                 1.1329,                 0.4199,                0.47449,                0.39033,                0.23434,                 1.3809,                 1.3169,                  1.258,              0.0010438,              0.0010438,              0.0010438
                     53,                 1.2501,                  1.056,                 1.1083,                 0.3328,                0.54205,                 0.3707,                0.22526,                 1.3486,                 1.4784,                 1.2458,              0.0010396,              0.0010396,              0.0010396
                     54,                 1.2693,                 1.0939,                 1.1307,                0.43631,                0.41889,                0.37632,                0.22455,                 1.3902,                 1.4664,                 1.2463,              0.0010355,              0.0010355,              0.0010355
                     55,                 1.2592,                 1.0718,                 1.1347,                 0.4619,                0.45332,                0.41872,                0.25442,                 1.3917,                 1.2918,                 1.2275,              0.0010314,              0.0010314,              0.0010314
                     56,                 1.2423,                 1.0481,                 1.1101,                0.26109,                0.52621,                0.32458,                0.18934,                 1.3836,                 1.4426,                 1.2493,              0.0010273,              0.0010273,              0.0010273
                     57,                  1.216,                 1.0255,                 1.1027,                 0.3786,                0.45916,                0.40448,                0.24117,                 1.3839,                 1.2888,                 1.2221,              0.0010231,              0.0010231,              0.0010231
                     58,                 1.2345,                 1.0435,                 1.1116,                0.45582,                 0.3879,                0.36923,                0.22127,                 1.3739,                 1.3516,                 1.2482,               0.001019,               0.001019,               0.001019
                     59,                  1.256,                  1.037,                 1.1275,                0.41892,                0.42394,                 0.3922,                0.23592,                 1.3864,                 1.3215,                 1.2307,              0.0010149,              0.0010149,              0.0010149
                     60,                  1.264,                 1.0677,                  1.124,                0.39644,                0.41581,                0.38907,                0.23575,                  1.421,                 1.3342,                 1.2658,              0.0010107,              0.0010107,              0.0010107
                     61,                 1.2361,                 1.0628,                 1.1142,                0.34305,                0.48433,                0.38403,                0.22289,                 1.4202,                 1.3599,                  1.267,              0.0010066,              0.0010066,              0.0010066
                     62,                 1.2195,                 1.0371,                 1.1195,                0.47579,                 0.3937,                 0.3943,                0.23722,                 1.4455,                 1.3667,                 1.2661,              0.0010025,              0.0010025,              0.0010025
