Index,unR_Count,unR_Area_Mean,unR_Area_Std,unR_Aspect_Ratio_Mean,unR_Aspect_Ratio_Std,dR_Count,dR_Area_Mean,dR_Area_Std,dR_Aspect_Ratio_Mean,dR_Aspect_Ratio_Std,unC_Count,unC_Area_Mean,unC_Area_Std,unC_Aspect_Ratio_Mean,unC_Aspect_Ratio_Std,dC_Count,dC_Area_Mean,dC_Area_Std,dC_Aspect_Ratio_Mean,dC_Aspect_Ratio_Std
43,7,2604.0178571428564,424.0389402600049,1.0930197708945386,0.44431361893782456,1,5295.833333333329,0.0,0.5040650406504061,0.0,0,,,,,0,,,,
23,34,2417.0870442932287,927.9396889177483,0.9981655281544605,0.24300218488691233,5,3243.333333333333,534.3235526819072,0.8417287236974845,0.1668826268336045,0,,,,,0,,,,
38,0,,,,,0,,,,,3,29846.82142568332,5560.950945025591,2.0056265686918215,1.36329064292137,0,,,,
8,5,4213.888888888887,2141.167842542539,0.9488639573035169,0.06907899469972868,0,,,,,4,13662.705411166113,8475.486952824744,1.0421120573813045,0.3121070141778403,0,,,,
12,0,,,,,0,,,,,3,36352.40881235281,2456.7223014515216,0.7556482770496316,0.31137516842508506,1,19150.69444444444,0.0,2.321100917431193,0.0
26,41,2332.584799671901,737.352533198781,1.0169478872402757,0.296203167830182,2,3595.1388888888905,896.5277777777783,0.9782903663500683,0.11261872455902255,5,11160.694444444443,3582.542753012236,0.9803342112433022,0.06493716224299986,0,,,,
34,48,3228.581227736587,1040.2770096112326,1.088128093789294,0.30679799793039086,1,4149.999999999998,0.0,1.1527777777777772,0.0,0,,,,,0,,,,
33,0,,,,,0,,,,,1,39613.194444444445,0.0,0.7224199288256227,0.0,2,55107.98611111112,10447.56944444446,1.227182713029297,0.4677325412079912
29,44,2457.3717645202023,771.328711562443,1.0574796869180456,0.2662402921875795,2,4081.5972222222235,1048.2638888888878,1.2739844425237674,0.34140017286084645,1,33002.08333333333,0.0,1.0092165898617513,0.0,0,,,,
17,39,2721.7214947854454,783.8301512816824,1.0166334792907663,0.2637868341261573,2,3419.4444444444453,469.44444444444,0.6897222222222226,0.12972222222222296,2,6477.430555555555,1169.0972222222208,0.9176997245179064,0.16563360881542705,0,,,,
25,33,2902.9461279461284,1124.634857688698,1.0852611542209851,0.3363045351320452,5,4311.277777777778,1671.272546409686,1.4377028218694883,0.32128321022480694,0,,,,,0,,,,
13,0,,,,,0,,,,,4,32952.938402230975,12479.313853305082,0.9923681677678904,0.33209914571867505,0,,,,
15,1,2324.999999999998,0.0,0.8709677419354845,0.0,0,,,,,4,30366.58806567661,16609.225803572437,0.7470984063051318,0.1461755555202525,1,15016.666666666668,0.0,1.1691176470588234,0.0
4,5,3251.388888888889,1232.848378129602,0.9753594212804739,0.13333829702677938,2,5249.305555555555,1436.8055555555554,1.4365000987556786,0.03890973730989522,3,29061.287818964454,17299.045315745447,1.8423508961902604,0.4887579607949926,3,15987.962962962962,3907.1219945787757,1.4834701412583036,0.8719169866046584
5,25,2206.944444444445,718.3143204495943,1.3677025522722388,0.5137455564864805,9,2527.2376543209884,1222.655155233835,1.1986581946554997,0.35663593193364784,3,6876.157407407405,1168.9712595812728,0.5300992658135514,0.06115038222900195,1,25299.999999999996,0.0,1.7569444444444442,0.0
7,43,1540.1647286821708,555.7866511083373,0.6410880372236133,0.18658558056650584,4,3929.166666666666,622.8721494064159,0.4261198438382903,0.15864716226816764,6,10787.913773148148,2020.8367299935014,1.0793048393866107,0.4228721175415841,1,7819.369725738404,0.0,0.4540229885057473,0.0
21,0,,,,,0,,,,,2,39179.16666666667,3097.9166666666642,0.8207755060344702,0.003925689184653303,2,31152.083333333336,4575.694444444443,1.1452169879393876,0.06264818059993793
20,0,,,,,0,,,,,2,18618.080828059068,9927.752505274262,0.6366614741735283,0.20496748510248983,2,50356.25000000001,23506.250000000004,1.058030317880362,0.14867359273416292
