                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2436,                 1.1989,                 1.1113,                0.33402,                0.43323,                0.34056,                0.20797,                 1.2905,                 1.4358,                 1.1679,              0.0011139,              0.0011139,              0.0011139
                     36,                 1.2205,                 1.1684,                 1.0961,                0.38856,                0.48214,                0.39339,                0.23958,                 1.2396,                 1.2845,                 1.1635,              0.0011098,              0.0011098,              0.0011098
                     37,                  1.199,                 1.1642,                 1.0952,                0.41283,                0.47661,                0.41787,                 0.2561,                 1.2474,                 1.2939,                 1.1648,              0.0011056,              0.0011056,              0.0011056
                     38,                 1.2256,                 1.1803,                 1.1032,                0.36735,                0.48842,                0.38864,                0.23009,                 1.3035,                 1.2953,                 1.2013,              0.0011015,              0.0011015,              0.0011015
                     39,                 1.2176,                 1.1449,                 1.1018,                 0.3411,                0.51702,                0.37896,                0.22456,                 1.3163,                 1.4169,                 1.1809,              0.0010974,              0.0010974,              0.0010974
                     40,                 1.2155,                 1.1589,                 1.0998,                0.38069,                0.45363,                0.37814,                0.22906,                 1.2939,                 1.3529,                 1.1991,              0.0010933,              0.0010933,              0.0010933
                     41,                 1.2108,                 1.1755,                 1.1207,                0.38584,                0.50417,                0.40984,                0.25154,                 1.2561,                 1.3023,                 1.1836,              0.0010891,              0.0010891,              0.0010891
                     42,                 1.2238,                 1.1878,                 1.1098,                0.38496,                 0.4507,                0.39059,                0.23594,                 1.2719,                 1.3633,                 1.1795,               0.001085,               0.001085,               0.001085
                     43,                 1.2271,                 1.1269,                 1.1018,                0.38612,                0.44747,                0.39388,                 0.2324,                 1.3098,                  1.336,                 1.1987,              0.0010809,              0.0010809,              0.0010809
                     44,                 1.2296,                 1.1387,                 1.0998,                0.41537,                0.40281,                0.39829,                0.23903,                 1.2526,                 1.3264,                 1.1742,              0.0010768,              0.0010768,              0.0010768
                     45,                 1.1854,                 1.1083,                 1.1065,                0.38345,                0.48212,                0.39775,                0.25074,                 1.2246,                 1.2249,                 1.1543,              0.0010726,              0.0010726,              0.0010726
                     46,                 1.2105,                  1.132,                 1.1003,                0.34438,                0.51769,                0.35114,                0.22236,                  1.226,                 1.3711,                  1.148,              0.0010685,              0.0010685,              0.0010685
                     47,                 1.1913,                 1.1236,                  1.103,                 0.3465,                0.49808,                0.35796,                0.21937,                 1.2818,                 1.5073,                 1.1916,              0.0010644,              0.0010644,              0.0010644
                     48,                 1.2134,                 1.1294,                 1.1054,                0.43407,                0.48025,                 0.4253,                0.26385,                  1.238,                 1.2423,                 1.1687,              0.0010603,              0.0010603,              0.0010603
                     49,                  1.208,                 1.1069,                 1.0989,                0.39682,                0.53382,                0.43538,                0.26957,                 1.2472,                  1.223,                 1.1611,              0.0010561,              0.0010561,              0.0010561
                     50,                 1.2023,                 1.0973,                  1.092,                0.38959,                0.52282,                0.41005,                0.24901,                 1.2474,                 1.2695,                 1.1605,               0.001052,               0.001052,               0.001052
                     51,                 1.2055,                 1.1196,                 1.1002,                0.38544,                0.50629,                0.38493,                0.23549,                 1.2839,                 1.3234,                 1.1925,              0.0010479,              0.0010479,              0.0010479
                     52,                 1.1893,                 1.0951,                 1.0909,                0.29923,                0.46108,                0.33153,                0.20381,                 1.2818,                 1.4022,                 1.1697,              0.0010438,              0.0010438,              0.0010438
                     53,                 1.1594,                 1.0783,                 1.0768,                0.35926,                0.44973,                0.36794,                0.23005,                 1.2406,                 1.2731,                 1.1566,              0.0010396,              0.0010396,              0.0010396
                     54,                 1.2086,                 1.0816,                  1.102,                0.36691,                0.46071,                0.38843,                0.23967,                 1.2514,                 1.2502,                 1.1641,              0.0010355,              0.0010355,              0.0010355
                     55,                 1.1852,                  1.046,                 1.0931,                 0.3255,                0.53388,                0.36844,                0.21965,                 1.2606,                 1.3286,                 1.1659,              0.0010314,              0.0010314,              0.0010314
                     56,                 1.2106,                 1.0932,                 1.0993,                0.34356,                0.56309,                0.39711,                0.23942,                 1.2756,                 1.3407,                 1.1759,              0.0010273,              0.0010273,              0.0010273
                     57,                 1.1527,                 1.0273,                  1.076,                0.39316,                0.45809,                0.40766,                0.25242,                 1.2419,                 1.2372,                  1.172,              0.0010231,              0.0010231,              0.0010231
                     58,                 1.1743,                 1.0449,                 1.0854,                0.36149,                0.49887,                0.41118,                 0.2488,                 1.2704,                 1.2358,                 1.1784,               0.001019,               0.001019,               0.001019
                     59,                 1.1882,                 1.0403,                 1.0869,                0.31943,                0.52128,                0.38884,                0.23888,                 1.2749,                 1.3043,                 1.1737,              0.0010149,              0.0010149,              0.0010149
                     60,                 1.1921,                 1.0745,                 1.0862,                0.41252,                0.44535,                0.39823,                0.24692,                 1.2327,                 1.3106,                 1.1504,              0.0010107,              0.0010107,              0.0010107
                     61,                 1.1801,                 1.0692,                 1.0899,                0.40953,                0.45438,                0.40342,                0.24775,                 1.2613,                 1.2946,                 1.1779,              0.0010066,              0.0010066,              0.0010066
                     62,                 1.1667,                 1.0377,                 1.0851,                0.39571,                0.48767,                 0.3978,                0.25001,                 1.2143,                 1.3077,                 1.1433,              0.0010025,              0.0010025,              0.0010025
                     63,                 1.1608,                 1.0376,                 1.0841,                0.38908,                0.46751,                 0.3958,                0.24619,                 1.2909,                  1.302,                 1.1742,             0.00099837,             0.00099837,             0.00099837
                     64,                 1.1537,                 1.0054,                 1.0843,                0.40551,                0.43971,                0.42229,                0.25474,                 1.2875,                 1.2144,                 1.2045,             0.00099425,             0.00099425,             0.00099425
                     65,                 1.1506,                  1.003,                 1.0744,                0.44824,                0.49646,                0.45278,                0.27352,                 1.2348,                 1.1747,                 1.1707,             0.00099013,             0.00099013,             0.00099013
                     66,                  1.142,                0.99492,                 1.0686,                0.44609,                0.48875,                0.43257,                 0.2615,                 1.2597,                 1.2005,                 1.1777,               0.000986,               0.000986,               0.000986
                     67,                 1.1577,                  1.009,                 1.0671,                0.42658,                0.47716,                0.40805,                0.25068,                 1.2495,                 1.3093,                 1.1584,             0.00098187,             0.00098187,             0.00098187
                     68,                  1.138,                 1.0083,                  1.066,                0.46759,                 0.4215,                0.40697,                0.25812,                 1.2511,                 1.2496,                 1.1537,             0.00097775,             0.00097775,             0.00097775
                     69,                 1.1521,                 1.0036,                  1.068,                0.39854,                0.50407,                0.40223,                0.24928,                 1.2684,                 1.2841,                 1.1708,             0.00097362,             0.00097362,             0.00097362
                     70,                 1.1646,                0.99067,                 1.0619,                0.34024,                0.54931,                  0.395,                0.24883,                 1.2347,                 1.2458,                 1.1677,              0.0009695,              0.0009695,              0.0009695
                     71,                 1.1681,                  1.021,                 1.0832,                0.41371,                0.48785,                0.41246,                0.26076,                 1.2221,                 1.1916,                 1.1522,             0.00096537,             0.00096537,             0.00096537
                     72,                 1.1374,                0.97951,                 1.0601,                0.39437,                0.52156,                0.42899,                0.26452,                 1.2373,                 1.2327,                 1.1531,             0.00096125,             0.00096125,             0.00096125
                     73,                  1.135,                0.96647,                 1.0549,                 0.3914,                0.53734,                0.41879,                0.25894,                 1.2373,                 1.2847,                 1.1583,             0.00095712,             0.00095712,             0.00095712
                     74,                 1.1494,                0.98351,                 1.0741,                0.39232,                0.51857,                0.39204,                0.23457,                 1.2825,                 1.3951,                 1.1807,               0.000953,               0.000953,               0.000953
                     75,                 1.1342,                0.97551,                 1.0706,                0.37573,                0.52813,                0.42015,                 0.2493,                 1.2776,                 1.1966,                 1.1885,             0.00094887,             0.00094887,             0.00094887
                     76,                 1.1294,                0.95844,                 1.0667,                0.41275,                0.56676,                0.45447,                0.27409,                 1.2462,                 1.1988,                 1.1616,             0.00094475,             0.00094475,             0.00094475
                     77,                 1.1269,                 0.9643,                 1.0544,                0.48757,                 0.5075,                0.46284,                0.28114,                 1.2537,                 1.1652,                 1.1638,             0.00094062,             0.00094062,             0.00094062
                     78,                  1.157,                 0.9793,                 1.0719,                0.41398,                 0.4748,                0.41476,                0.26062,                 1.2395,                 1.2009,                   1.15,              0.0009365,              0.0009365,              0.0009365
                     79,                 1.1481,                0.99603,                 1.0674,                0.46377,                0.44133,                0.43468,                 0.2667,                  1.224,                  1.157,                 1.1613,             0.00093238,             0.00093238,             0.00093238
