                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6646,                 2.5889,                 1.3369,                0.27515,                0.29412,                0.28527,                0.16088,                 1.4355,                 1.7549,                 1.2546,             0.00041219,             0.00041219,             0.00041219
                      2,                 1.5325,                 1.6023,                 1.2482,                0.50248,                0.31116,                0.28494,                0.16186,                 1.3984,                 1.6077,                  1.204,             0.00082612,             0.00082612,             0.00082612
                      3,                  1.493,                 1.4784,                 1.2446,                0.30623,                0.39072,                0.30271,                0.17451,                 1.3641,                 1.5298,                 1.1924,              0.0012373,              0.0012373,              0.0012373
                      4,                 1.4641,                 1.4076,                 1.2264,                0.29776,                0.46744,                 0.3434,                0.20656,                 1.3124,                  1.402,                 1.2037,              0.0012376,              0.0012376,              0.0012376
                      5,                 1.4216,                 1.3463,                 1.2077,                0.35259,                0.46639,                0.35034,                0.20499,                 1.2935,                 1.4106,                 1.1738,              0.0012376,              0.0012376,              0.0012376
                      6,                 1.4269,                 1.3296,                 1.2067,                0.41401,                 0.4816,                0.40336,                0.24765,                 1.2749,                 1.3554,                 1.1431,              0.0012335,              0.0012335,              0.0012335
                      7,                  1.406,                  1.313,                 1.2062,                0.41166,                0.47307,                0.42195,                0.25825,                 1.2719,                  1.284,                 1.1779,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.3906,                 1.2935,                    1.2,                 0.4058,                 0.4793,                0.41566,                0.24648,                 1.3401,                 1.2883,                 1.2082,              0.0012252,              0.0012252,              0.0012252
                      9,                 1.3957,                 1.2671,                  1.196,                0.46579,                0.49714,                 0.4403,                0.27475,                  1.268,                 1.2004,                 1.1484,              0.0012211,              0.0012211,              0.0012211
                     10,                 1.3728,                 1.2189,                 1.1836,                 0.4521,                0.52062,                0.45495,                 0.2889,                 1.2394,                 1.1803,                 1.1618,               0.001217,               0.001217,               0.001217
                     11,                 1.3591,                 1.2061,                 1.1822,                0.44259,                0.48619,                0.47029,                0.29607,                 1.2345,                 1.1918,                 1.1535,              0.0012129,              0.0012129,              0.0012129
                     12,                  1.341,                 1.1716,                 1.1676,                0.45704,                0.55039,                0.48963,                0.30173,                 1.2462,                 1.1451,                 1.1699,              0.0012087,              0.0012087,              0.0012087
                     13,                 1.3481,                 1.1679,                 1.1761,                0.45443,                0.50181,                 0.4703,                0.28968,                  1.246,                 1.1338,                 1.1521,              0.0012046,              0.0012046,              0.0012046
                     14,                 1.3354,                 1.1588,                 1.1682,                0.50179,                0.54181,                0.50688,                0.32782,                 1.2169,                 1.0797,                 1.1435,              0.0012005,              0.0012005,              0.0012005
                     15,                 1.3307,                 1.1248,                 1.1661,                0.42268,                0.53744,                0.46957,                0.29785,                 1.2397,                 1.2421,                 1.1381,              0.0011964,              0.0011964,              0.0011964
                     16,                 1.3225,                 1.1226,                 1.1556,                0.50182,                 0.5496,                0.49004,                0.31292,                 1.1942,                 1.1167,                 1.1346,              0.0011922,              0.0011922,              0.0011922
                     17,                 1.3157,                 1.0864,                  1.157,                0.51739,                0.57223,                0.53895,                 0.3429,                 1.2221,                 1.0571,                 1.1476,              0.0011881,              0.0011881,              0.0011881
                     18,                  1.304,                 1.0886,                 1.1488,                0.52807,                0.50831,                0.50754,                0.31731,                 1.2233,                 1.0734,                 1.1498,               0.001184,               0.001184,               0.001184
                     19,                 1.3149,                 1.0829,                 1.1467,                0.54029,                0.55098,                0.56249,                0.34507,                 1.2641,                 1.0705,                 1.1602,              0.0011799,              0.0011799,              0.0011799
                     20,                  1.283,                 1.0571,                 1.1365,                 0.5678,                 0.6039,                0.59474,                0.38882,                 1.1952,                0.99583,                 1.1363,              0.0011757,              0.0011757,              0.0011757
