                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6608,                 2.4823,                 1.3304,                0.52341,                0.28701,                0.26351,                0.14888,                 1.4239,                 1.7638,                 1.2033,             0.00041291,             0.00041291,             0.00041291
                      2,                  1.496,                 1.5735,                  1.221,                0.29444,                0.39893,                 0.2963,                0.17692,                  1.377,                 1.6732,                 1.1702,             0.00082684,             0.00082684,             0.00082684
                      3,                 1.4628,                 1.4759,                 1.2123,                0.34388,                0.44035,                0.33501,                0.19517,                 1.3164,                 1.3888,                 1.1623,               0.001238,               0.001238,               0.001238
                      4,                 1.4455,                 1.3763,                 1.1985,                0.32189,                0.45991,                 0.3266,                0.19664,                 1.3362,                 1.5987,                 1.1677,              0.0012376,              0.0012376,              0.0012376
                      5,                  1.419,                  1.334,                 1.1935,                0.39694,                0.45093,                0.39942,                 0.2462,                 1.2896,                 1.3059,                 1.1916,              0.0012376,              0.0012376,              0.0012376
                      6,                 1.3864,                 1.3053,                 1.1819,                0.41806,                0.46162,                 0.3947,                0.24471,                 1.2753,                 1.2694,                 1.1861,              0.0012335,              0.0012335,              0.0012335
                      7,                 1.4037,                 1.2873,                 1.1937,                0.40233,                 0.4737,                0.43839,                0.26289,                 1.2966,                 1.3021,                 1.1858,              0.0012294,              0.0012294,              0.0012294
                      8,                 1.3721,                 1.2421,                 1.1791,                0.36108,                0.46474,                 0.3856,                0.24184,                 1.2509,                 1.3111,                 1.1694,              0.0012252,              0.0012252,              0.0012252
